project,page_title,views
lv,Amazon,10
lv,Facebook,10
lv,Google,9
lv,Microsoft,11
lv,Tesla,5
lv.m,Tesla,1
mad,Facebook,8
mg,Facebook,9
mg,Google,10
mhr,Facebook,10
mi,Microsoft,21
min,Facebook,8
min,Google,12
min,Microsoft,9
mk,Google,9
mk,IBM,2
mk,Microsoft,9
mn,Facebook,1
mn,Google,9
mn,Microsoft,11
mn,Oracle,5
ms,Facebook,10
ms,Google,11
ms,Microsoft,9
ms.m,Facebook,1
mt,Facebook,8
mt,Microsoft,7
my,Facebook,10
myv,Facebook,10
nah,Facebook,11
nap,Google,9
nds,Facebook,11
nds,Google,9
nds,Microsoft,10
nds-nl,Facebook,10
nds-nl,Google,11
new,Facebook,7
nia,Facebook,11
nl,Amazon,11
nl,Facebook,15
nl,Google,7
nl,IBM,1
nl,Microsoft,7
nl.m,Facebook,6
nl.m,IBM,1
nn,Amazon,11
nn,Facebook,11
nn,Google,9
nn,Microsoft,9
no,Amazon,11
no,Apple,1
no,Facebook,20
no,Google,13
no,Microsoft,8
no,Tesla,6
no.m,Apple,1
no.m,Facebook,1
nrm,Facebook,10
ny,Facebook,10
oc,Facebook,7
oc,Microsoft,7
om,Google,10
os,Facebook,12
os,Google,9
pag,Facebook,8
pag,Google,8
pam,Facebook,8
pap,Facebook,10
pap,Google,12
pcm,Facebook,10
pdc,Facebook,9
pl,Facebook,18
pl,Google,18
pl,Microsoft,8
pl.m,Facebook,8
pl.m,Google,8
pl.m,IBM,4
pl.m,Microsoft,2
pms,Facebook,9
pms,Google,7
pms,Microsoft,9
pms,Tesla,6
pt,Amazon,12
pt,Facebook,27
pt,Google,20
pt,IBM,2
pt,Microsoft,18
pt,Oracle,5
pt.m,Apple,1
pt.m,Facebook,5
pt.m,Google,3
pt.m,IBM,1
qu,Facebook,9
qu,Google,11
qu,Microsoft,8
rm,Facebook,8
rmy,Facebook,8
ro,Amazon,18
ro,Facebook,20
ro,Google,8
ro,Microsoft,11
ro.m,Facebook,6
ru,Amazon,15
ru,Apple,7
ru,Facebook,16
ru,Google,10
ru,IBM,1
ru,Microsoft,21
ru,Oracle,5
ru,Tesla,9
ru.m,Amazon,6
ru.m,Apple,11
ru.m,Facebook,14
ru.m,Google,42
ru.m,IBM,3
ru.m,Microsoft,14
ru.m,Oracle,10
ru.m,Tesla,10
rw,Facebook,10
sah,Amazon,5
sah,Google,8
sah,Microsoft,8
scn,Facebook,9
scn,Microsoft,9
scn,Tesla,5
sco,Amazon,11
sco,Facebook,15
sco,Google,2
sco,Microsoft,10
se,Facebook,9
sg,Facebook,11
sh,Amazon,8
sh,Facebook,8
sh,Google,10
sh,Microsoft,10
sh,Tesla,5
simple,Amazon,9
simple,Apple,1
simple,Facebook,18
simple,Google,14
simple,IBM,1
simple,Microsoft,24
simple.m,Google,6
simple.m,Microsoft,5
sk,Facebook,8
sk,Google,11
sk,Microsoft,7
sk,Oracle,6
sk.m,Google,5
sl,Amazon,5
sl,Facebook,9
sl,Google,7
sl,Microsoft,9
sl.m,IBM,1
sm,Facebook,10
smn,Facebook,10
sq,Amazon,11
sq,Facebook,10
sq,Google,9
sq,IBM,1
sq,Microsoft,9
sr,Facebook,6
sr,Google,6
sr,Microsoft,8
sr,Oracle,5
sr.m,Facebook,1
stq,Facebook,10
su,Facebook,8
su,Google,11
sv,Amazon,9
sv,Facebook,10
sv,Google,23
sv,Microsoft,10
sv,Oracle,4
sv.m,Facebook,1
sv.m,Google,1
sw,Facebook,10
sw,Google,6
sw,Microsoft,10
